session_id,task_id,task_order,agent,strategy,suite_id,event_type,failure_id,checkpoint,raw_classification,final_attribution,attribution_confidence,review_required,suite_status,suite_outcome,suite_reason,suite_total,suite_failed,suite_failure_rate,cascade_candidate,failure_message,adapter_unresolved_kind,adapter_version,test_run_id,test_result_source
session_20260817_130253,T3,3,claude,minimal,backend,assertion_failure,T3 Deal pipeline API (e2e) checkpoint 3: transition preconditions allows active -> negotiation when the generic update supplies the date atomically,3,behaviour_or_unclassified,requirement_noncompliance_candidate,medium,True,fail,behaviour_or_test_fail,,62,1,0.016129032258064516,False,"Error: expect(received).toMatchObject(expected)

- Expected  - 1
+ Received  + 1

  Object {
-   ""expectedCloseDate"": ""2026-12-31"",
+   ""expectedCloseDate"": ""2026-12-31T00:00:00.000Z"",
    ""stage"": ""negotiation"",
  }
    at Object.<anonymous> (/workspace/backend/test/acceptance/T3/deal-stage.e2e-spec.ts:334:29)
    at processTicksAndRejections (node:internal/process/task_queues:95:5)",,v2,session_20260817_130253_T3_test_20260822_151817,acceptance_runs/session_20260817_130253_T3_test_20260822_151817/test_result.json
session_20260817_160757,T2,2,claude,structured,backend,assertion_failure,T2 relationship API (e2e) checkpoint 1: Contact creation and representation creates a Contact linked to one Company and returns that primary link,1,behaviour_or_unclassified,requirement_noncompliance_candidate,medium,True,fail,behaviour_or_test_fail,,26,26,1.0,True,"QueryFailedError: column ""companyId"" referenced in foreign key constraint does not exist
    at PostgresQueryRunner.query (/workspace/backend/src/driver/postgres/PostgresQueryRunner.ts:325:19)
    at processTicksAndRejections (node:internal/process/task_queues:95:5)
    at AddContactsCompanyFk20260722000100.up (/workspace/backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts:7:5)
    at MigrationExecutor.executePendingMigrations (/workspace/backend/src/migration/MigrationExecutor.ts:346:17)
    at DataSource.runMigrations (/workspace/backend/src/data-source/DataSource.ts:404:13)
    at resetDatabaseSchema (/workspace/backend/test/setup/test-database.ts:25:3)
    at Object.<anonymous> (/workspace/backend/test/acceptance/T2/relationships.e2e-spec.ts:79:5)",,v2,session_20260817_160757_T2_test_20260822_152225,acceptance_runs/session_20260817_160757_T2_test_20260822_152225/test_result.json
session_20260817_160757,T2,2,claude,structured,backend,assertion_failure,T2 relationship API (e2e) checkpoint 1: Contact creation and representation creates a multi-Company Contact and orders the primary Company first,1,behaviour_or_unclassified,requirement_noncompliance_candidate,medium,True,fail,behaviour_or_test_fail,,26,26,1.0,True,"QueryFailedError: column ""companyId"" referenced in foreign key constraint does not exist
    at PostgresQueryRunner.query (/workspace/backend/src/driver/postgres/PostgresQueryRunner.ts:325:19)
    at processTicksAndRejections (node:internal/process/task_queues:95:5)
    at AddContactsCompanyFk20260722000100.up (/workspace/backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts:7:5)
    at MigrationExecutor.executePendingMigrations (/workspace/backend/src/migration/MigrationExecutor.ts:346:17)
    at DataSource.runMigrations (/workspace/backend/src/data-source/DataSource.ts:404:13)
    at resetDatabaseSchema (/workspace/backend/test/setup/test-database.ts:25:3)
    at Object.<anonymous> (/workspace/backend/test/acceptance/T2/relationships.e2e-spec.ts:79:5)",,v2,session_20260817_160757_T2_test_20260822_152225,acceptance_runs/session_20260817_160757_T2_test_20260822_152225/test_result.json
session_20260817_160757,T2,2,claude,structured,backend,assertion_failure,T2 relationship API (e2e) checkpoint 1: Contact creation and representation rejects a Contact with no Company links,1,behaviour_or_unclassified,requirement_noncompliance_candidate,medium,True,fail,behaviour_or_test_fail,,26,26,1.0,True,"QueryFailedError: column ""companyId"" referenced in foreign key constraint does not exist
    at PostgresQueryRunner.query (/workspace/backend/src/driver/postgres/PostgresQueryRunner.ts:325:19)
    at processTicksAndRejections (node:internal/process/task_queues:95:5)
    at AddContactsCompanyFk20260722000100.up (/workspace/backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts:7:5)
    at MigrationExecutor.executePendingMigrations (/workspace/backend/src/migration/MigrationExecutor.ts:346:17)
    at DataSource.runMigrations (/workspace/backend/src/data-source/DataSource.ts:404:13)
    at resetDatabaseSchema (/workspace/backend/test/setup/test-database.ts:25:3)
    at Object.<anonymous> (/workspace/backend/test/acceptance/T2/relationships.e2e-spec.ts:79:5)",,v2,session_20260817_160757_T2_test_20260822_152225,acceptance_runs/session_20260817_160757_T2_test_20260822_152225/test_result.json
session_20260817_160757,T2,2,claude,structured,backend,assertion_failure,T2 relationship API (e2e) checkpoint 1: Contact creation and representation rejects a Contact with no primary Company,1,behaviour_or_unclassified,requirement_noncompliance_candidate,medium,True,fail,behaviour_or_test_fail,,26,26,1.0,True,"QueryFailedError: column ""companyId"" referenced in foreign key constraint does not exist
    at PostgresQueryRunner.query (/workspace/backend/src/driver/postgres/PostgresQueryRunner.ts:325:19)
    at processTicksAndRejections (node:internal/process/task_queues:95:5)
    at AddContactsCompanyFk20260722000100.up (/workspace/backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts:7:5)
    at MigrationExecutor.executePendingMigrations (/workspace/backend/src/migration/MigrationExecutor.ts:346:17)
    at DataSource.runMigrations (/workspace/backend/src/data-source/DataSource.ts:404:13)
    at resetDatabaseSchema (/workspace/backend/test/setup/test-database.ts:25:3)
    at Object.<anonymous> (/workspace/backend/test/acceptance/T2/relationships.e2e-spec.ts:79:5)",,v2,session_20260817_160757_T2_test_20260822_152225,acceptance_runs/session_20260817_160757_T2_test_20260822_152225/test_result.json
session_20260817_160757,T2,2,claude,structured,backend,assertion_failure,T2 relationship API (e2e) checkpoint 1: Contact creation and representation rejects a Contact with two primary Companies,1,behaviour_or_unclassified,requirement_noncompliance_candidate,medium,True,fail,behaviour_or_test_fail,,26,26,1.0,True,"QueryFailedError: column ""companyId"" referenced in foreign key constraint does not exist
    at PostgresQueryRunner.query (/workspace/backend/src/driver/postgres/PostgresQueryRunner.ts:325:19)
    at processTicksAndRejections (node:internal/process/task_queues:95:5)
    at AddContactsCompanyFk20260722000100.up (/workspace/backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts:7:5)
    at MigrationExecutor.executePendingMigrations (/workspace/backend/src/migration/MigrationExecutor.ts:346:17)
    at DataSource.runMigrations (/workspace/backend/src/data-source/DataSource.ts:404:13)
    at resetDatabaseSchema (/workspace/backend/test/setup/test-database.ts:25:3)
    at Object.<anonymous> (/workspace/backend/test/acceptance/T2/relationships.e2e-spec.ts:79:5)",,v2,session_20260817_160757_T2_test_20260822_152225,acceptance_runs/session_20260817_160757_T2_test_20260822_152225/test_result.json
session_20260817_160757,T2,2,claude,structured,backend,assertion_failure,T2 relationship API (e2e) checkpoint 1: Contact creation and representation rejects an unknown Company and does not create the Contact,1,behaviour_or_unclassified,requirement_noncompliance_candidate,medium,True,fail,behaviour_or_test_fail,,26,26,1.0,True,"QueryFailedError: column ""companyId"" referenced in foreign key constraint does not exist
    at PostgresQueryRunner.query (/workspace/backend/src/driver/postgres/PostgresQueryRunner.ts:325:19)
    at processTicksAndRejections (node:internal/process/task_queues:95:5)
    at AddContactsCompanyFk20260722000100.up (/workspace/backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts:7:5)
    at MigrationExecutor.executePendingMigrations (/workspace/backend/src/migration/MigrationExecutor.ts:346:17)
    at DataSource.runMigrations (/workspace/backend/src/data-source/DataSource.ts:404:13)
    at resetDatabaseSchema (/workspace/backend/test/setup/test-database.ts:25:3)
    at Object.<anonymous> (/workspace/backend/test/acceptance/T2/relationships.e2e-spec.ts:79:5)",,v2,session_20260817_160757_T2_test_20260822_152225,acceptance_runs/session_20260817_160757_T2_test_20260822_152225/test_result.json
session_20260817_160757,T2,2,claude,structured,backend,assertion_failure,T2 relationship API (e2e) checkpoint 2: atomic Contact-Company replacement atomically removes the old primary when the same operation designates a replacement,2,behaviour_or_unclassified,requirement_noncompliance_candidate,medium,True,fail,behaviour_or_test_fail,,26,26,1.0,True,"QueryFailedError: column ""companyId"" referenced in foreign key constraint does not exist
    at PostgresQueryRunner.query (/workspace/backend/src/driver/postgres/PostgresQueryRunner.ts:325:19)
    at processTicksAndRejections (node:internal/process/task_queues:95:5)
    at AddContactsCompanyFk20260722000100.up (/workspace/backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts:7:5)
    at MigrationExecutor.executePendingMigrations (/workspace/backend/src/migration/MigrationExecutor.ts:346:17)
    at DataSource.runMigrations (/workspace/backend/src/data-source/DataSource.ts:404:13)
    at resetDatabaseSchema (/workspace/backend/test/setup/test-database.ts:25:3)
    at Object.<anonymous> (/workspace/backend/test/acceptance/T2/relationships.e2e-spec.ts:79:5)",,v2,session_20260817_160757_T2_test_20260822_152225,acceptance_runs/session_20260817_160757_T2_test_20260822_152225/test_result.json
session_20260817_160757,T2,2,claude,structured,backend,assertion_failure,"T2 relationship API (e2e) checkpoint 2: atomic Contact-Company replacement attaches a secondary Company, promotes it, and demotes the old primary",2,behaviour_or_unclassified,requirement_noncompliance_candidate,medium,True,fail,behaviour_or_test_fail,,26,26,1.0,True,"QueryFailedError: column ""companyId"" referenced in foreign key constraint does not exist
    at PostgresQueryRunner.query (/workspace/backend/src/driver/postgres/PostgresQueryRunner.ts:325:19)
    at processTicksAndRejections (node:internal/process/task_queues:95:5)
    at AddContactsCompanyFk20260722000100.up (/workspace/backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts:7:5)
    at MigrationExecutor.executePendingMigrations (/workspace/backend/src/migration/MigrationExecutor.ts:346:17)
    at DataSource.runMigrations (/workspace/backend/src/data-source/DataSource.ts:404:13)
    at resetDatabaseSchema (/workspace/backend/test/setup/test-database.ts:25:3)
    at Object.<anonymous> (/workspace/backend/test/acceptance/T2/relationships.e2e-spec.ts:79:5)",,v2,session_20260817_160757_T2_test_20260822_152225,acceptance_runs/session_20260817_160757_T2_test_20260822_152225/test_result.json
session_20260817_160757,T2,2,claude,structured,backend,assertion_failure,T2 relationship API (e2e) checkpoint 2: atomic Contact-Company replacement detaches a secondary Company without deleting the Contact,2,behaviour_or_unclassified,requirement_noncompliance_candidate,medium,True,fail,behaviour_or_test_fail,,26,26,1.0,True,"QueryFailedError: column ""companyId"" referenced in foreign key constraint does not exist
    at PostgresQueryRunner.query (/workspace/backend/src/driver/postgres/PostgresQueryRunner.ts:325:19)
    at processTicksAndRejections (node:internal/process/task_queues:95:5)
    at AddContactsCompanyFk20260722000100.up (/workspace/backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts:7:5)
    at MigrationExecutor.executePendingMigrations (/workspace/backend/src/migration/MigrationExecutor.ts:346:17)
    at DataSource.runMigrations (/workspace/backend/src/data-source/DataSource.ts:404:13)
    at resetDatabaseSchema (/workspace/backend/test/setup/test-database.ts:25:3)
    at Object.<anonymous> (/workspace/backend/test/acceptance/T2/relationships.e2e-spec.ts:79:5)",,v2,session_20260817_160757_T2_test_20260822_152225,acceptance_runs/session_20260817_160757_T2_test_20260822_152225/test_result.json
